sample.name,batch,group,benchmark
P2_SRM_0004_0108_0,1,0,0
P2_SRM_0004_0108_1,1,0,0
P2_SRM_0004_0108_2,1,0,0
P2_SRM_0004_0110_0,2,0,0
P2_SRM_0004_0110_1,2,0,0
P2_SRM_0004_0110_2,2,0,0
P2_SRM_0004_0124_0,3,0,0
P2_SRM_0004_0124_1,3,0,0
P2_SRM_0004_0124_2,3,0,0
P2_SRM_0004_0219_0,4,0,0
P2_SRM_0004_0219_1,4,0,0
P2_SRM_0004_0219_2,4,0,0
P2_SRM_0004_0221_0,5,0,0
P2_SRM_0004_0221_1,5,0,0
P2_SRM_0004_0221_2,5,0,0
P2_SRM_0004_0304_0,6,0,0
P2_SRM_0004_0304_1,6,0,0
P2_SRM_0004_0304_2,6,0,0
P2_SRM_0004_0306_0,7,0,0
P2_SRM_0004_0306_1,7,0,0
P2_SRM_0004_0306_2,7,0,0
P2_SRM_0002_0108_0,1,0,0
P2_SRM_0002_0108_1,1,0,0
P2_SRM_0002_0108_2,1,0,0
P2_SRM_0002_0110_0,2,0,0
P2_SRM_0002_0110_1,2,0,0
P2_SRM_0002_0110_2,2,0,0
P2_SRM_0002_0124_0,3,0,0
P2_SRM_0002_0124_1,3,0,0
P2_SRM_0002_0124_2,3,0,0
P2_SRM_0002_0219_0,4,0,0
P2_SRM_0002_0219_1,4,0,0
P2_SRM_0002_0219_2,4,0,0
P2_SRM_0002_0221_0,5,0,0
P2_SRM_0002_0221_1,5,0,0
P2_SRM_0002_0221_2,5,0,0
P2_SRM_0002_0304_0,6,0,0
P2_SRM_0002_0304_1,6,0,0
P2_SRM_0002_0304_2,6,0,0
P2_SRM_0002_0306_0,7,0,0
P2_SRM_0002_0306_1,7,0,0
P2_SRM_0002_0306_2,7,0,0
P2_SRM_0001_0108_0,1,1,SRM_4
P2_SRM_0001_0108_1,1,1,SRM_4
P2_SRM_0001_0108_2,1,1,SRM_4
P2_SRM_0001_0110_0,2,1,SRM_4
P2_SRM_0001_0110_1,2,1,SRM_4
P2_SRM_0001_0110_2,2,1,SRM_4
P2_SRM_0001_0124_0,3,1,SRM_4
P2_SRM_0001_0124_1,3,1,SRM_4
P2_SRM_0001_0124_2,3,1,SRM_4
P2_SRM_0001_0219_0,4,1,SRM_4
P2_SRM_0001_0219_1,4,1,SRM_4
P2_SRM_0001_0219_2,4,1,SRM_4
P2_SRM_0001_0221_0,5,1,SRM_4
P2_SRM_0001_0221_1,5,1,SRM_4
P2_SRM_0001_0221_2,5,1,SRM_4
P2_SRM_0001_0304_0,6,1,SRM_4
P2_SRM_0001_0304_1,6,1,SRM_4
P2_SRM_0001_0304_2,6,1,SRM_4
P2_SRM_0001_0306_0,7,1,SRM_4
P2_SRM_0001_0306_1,7,1,SRM_4
P2_SRM_0001_0306_2,7,1,SRM_4
P1_FA_0008_0108_0,1,0,FA-6
P1_FA_0008_0108_1,1,0,FA_6
P1_FA_0008_0108_2,1,0,FA-6
P1_FA_0008_0110_0,2,0,FA_6
P1_FA_0008_0110_1,2,0,FA-6
P1_FA_0008_0110_2,2,0,FA_6
P1_FA_0008_0124_0,3,0,FA-6
P1_FA_0008_0124_1,3,0,FA_6
P1_FA_0008_0124_2,3,0,FA-6
P1_FA_0008_0219_0,4,0,FA_6
P1_FA_0008_0219_1,4,0,FA-6
P1_FA_0008_0219_2,4,0,FA_6
P1_FA_0008_0221_0,5,0,FA-6
P1_FA_0008_0221_1,5,0,FA_6
P1_FA_0008_0221_2,5,0,FA-6
P1_FA_0008_0304_0,6,0,FA_6
P1_FA_0008_0304_1,6,0,FA-6
P1_FA_0008_0304_2,6,0,FA_6
P1_FA_0008_0306_0,7,0,FA-6
P1_FA_0008_0306_1,7,0,FA_6
P1_FA_0008_0306_2,7,0,FA-6
